"crusoenormaljustnouns" "lighthousejustnormalnouns"
"i" 5.69914466344366 0.110785787766084
"time" 1.3015991074749 0.696367808815383
"way" 0.952956489401264 0.680541267705943
"boat" 1.13889921904054 0.348183904407692
"shore" 1.23651915210115 0.134525599430245
"things" 0.762365191521012 0.90211284323811
"ship" 1.12495351431759 0.0949592466566432
"sea" 0.818148010412793 0.59349529160402
"man" 0.725176645593157 0.720107620479544
"nothing" 0.683339531424321 0.775500514362586
"something" 0.237076980290071 1.34525599430245
"day" 0.804202305689848 0.371923716071852
"life" 0.664745258460394 0.577668750494579
"mrs" 0 1.70135316926486
"place" 0.892525102268501 0.166178681649126
"men" 0.697285236147267 0.427316609954894
"island" 0.859985124581629 0.142438869984965
"water" 0.687988099665303 0.221571575532167
"mind" 0.464856824098178 0.569755479939859
"god" 0.743770918557084 0.0474796233283216
"side" 0.57642246188174 0.276964469415209
"hand" 0.357939754555597 0.60140856215874
"part" 0.608962439568613 0.174091952203846
"people" 0.241725548531052 0.791327055472027
"friday" 0.669393826701376 0.00791327055472027
"father" 0.362588322796579 0.522275856611538
"world" 0.362588322796579 0.522275856611538
"thing" 0.343994049832652 0.522275856611538
"night" 0.390479732242469 0.435229880509615
"head" 0.36723689103756 0.443143151064335
"eyes" 0.120862774265526 0.830893408245628
"thoughts" 0.534585347712904 0.0791327055472027
"hands" 0.390479732242469 0.28487773996993
"moment" 0.120862774265526 0.743847432143705
"years" 0.33934548159167 0.332357363298251
"captain" 0.529936779471923 0
"house" 0.171997024916326 0.59349529160402
"room" 0.120862774265526 0.648888185487062
"mr" 0.00464856824098178 0.815066867136187
"anything" 0.255671253253998 0.371923716071852
"one" 0.148754183711417 0.546015668275698
"days" 0.348642618073633 0.150352140539685
"ground" 0.413722573447378 0.0395663527736013
"country" 0.381182595760506 0.0791327055472027
"tree" 0.28821123094087 0.213658304977447
"wind" 0.278914094458907 0.229484846086888
"children" 0.0325399776868724 0.640974914932341
"everything" 0.223131275567125 0.316530822188811
"home" 0.357939754555597 0.0870459761019229
"pieces" 0.404425436965415 0.00791327055472027
"work" 0.269616957976943 0.229484846086888
"end" 0.251022685013016 0.245311387196328
"condition" 0.376534027519524 0.00791327055472027
"morning" 0.246374116772034 0.229484846086888
"word" 0.28821123094087 0.158265411094405
"rest" 0.306805503904797 0.110785787766084
"piece" 0.348642618073633 0.0316530822188811
"board" 0.33934548159167 0.0316530822188811
"gun" 0.353291186314615 0.00791327055472027
"kind" 0.325399776868724 0.0553928938830419
"year" 0.297508367422834 0.0949592466566432
"light" 0.0790256600966902 0.458969692173775
"table" 0.0790256600966902 0.458969692173775
"foot" 0.241725548531052 0.174091952203846
"half" 0.227779843808107 0.189918493313286
"land" 0.28821123094087 0.0791327055472027
"fire" 0.28821123094087 0.0712194349924824
"words" 0.134808478988472 0.332357363298251
"sun" 0.199888434362216 0.213658304977447
"reason" 0.204537002603198 0.197831763868007
"lighthouse" 0.00464856824098178 0.530189127166258
"manner" 0.283562662699888 0.0553928938830419
"savages" 0.306805503904797 0
"thought" 0.167348456675344 0.237398116641608
